phase,step,max_steps,lr,loss,loss/raw_sum,loss/weighted_no_reg,loss/total,loss/g_ws,loss/delta_pos_x,mask/delta_pos_x_den,loss/delta_pos_y,mask/delta_pos_y_den,loss/delta_pos_z,mask/delta_pos_z_den,loss/delta_rot_x,mask/delta_rot_x_den,loss/delta_rot_y,mask/delta_rot_y_den,loss/delta_rot_z,mask/delta_rot_z_den,ws_acc,ws_precision,ws_recall,ws_f1,delta_pos_x_mae,delta_pos_x_rmse,delta_pos_y_mae,delta_pos_y_rmse,delta_pos_z_mae,delta_pos_z_rmse,delta_rot_x_mae,delta_rot_x_rmse,delta_rot_y_mae,delta_rot_y_rmse,delta_rot_z_mae,delta_rot_z_rmse
val,10000,200000,,-1.676459435224533,0.7495556985586882,0.7495556985586882,-1.676459435224533,0.2714935541478917,0.00665282714890509,4.95000000005,0.009019944853935157,4.95000000005,0.007444454785145354,4.95000000005,0.14471193679608405,4.95000000005,0.14712458154652266,4.95000000005,0.163108397917822,4.95000000005,0.884,0.8353448275862069,0.9594059405940594,0.8930875576036866,0.019748042235174453,0.026536522404875154,0.023893135063575977,0.031134112467939897,0.020362200543773596,0.02809724230414089,0.17048907527568363,0.24821443740702231,0.17328496355977324,0.24988449329567322,0.18804398660707955,0.2744995676244153
train,11000,200000,0.0001,-1.6477909088134766,0.7782243490219116,0.7782243490219116,-1.6477909088134766,0.1893668919801712,0.005900814197957516,18.0,0.008319060318171978,18.0,0.006018160376697779,18.0,0.17688874900341034,18.0,0.2112627625465393,18.0,0.180467888712883,18.0,,,,,,,,,,,,,,,,
train,12000,200000,0.0001,-1.5334975719451904,0.8925174474716187,0.8925174474716187,-1.5334975719451904,0.5945129990577698,0.010527665726840496,19.0,0.005171326454728842,19.0,0.007103380281478167,19.0,0.08849719911813736,19.0,0.12641465663909912,19.0,0.06029018759727478,19.0,,,,,,,,,,,,,,,,
train,13000,200000,0.0001,-1.8603734970092773,0.5656417012214661,0.5656417012214661,-1.8603734970092773,0.23559002578258514,0.00825162697583437,14.0,0.008892220444977283,14.0,0.005543034989386797,14.0,0.035216864198446274,14.0,0.16185735166072845,14.0,0.11029058694839478,14.0,,,,,,,,,,,,,,,,
train,14000,200000,0.0001,-1.649609088897705,0.7764061689376831,0.7764061689376831,-1.649609088897705,0.3054988384246826,0.008545288816094398,16.0,0.0043419962748885155,16.0,0.0016334012616425753,16.0,0.13370072841644287,16.0,0.16276602447032928,16.0,0.1599198877811432,16.0,,,,,,,,,,,,,,,,
train,15000,200000,0.0001,-1.9059739112854004,0.5200410485267639,0.5200410485267639,-1.9059739112854004,0.030443180352449417,0.004764152690768242,12.0,0.005414525046944618,12.0,0.0012910960940644145,12.0,0.10875368118286133,12.0,0.15745624899864197,12.0,0.2119181901216507,12.0,,,,,,,,,,,,,,,,
val,15000,200000,,-1.7479244214296341,0.67809071816504,0.67809071816504,-1.7479244214296341,0.26427123925182966,0.006719263479349138,4.95000000005,0.006178470678423764,4.95000000005,0.005832236132905617,4.95000000005,0.13594718096777797,4.95000000005,0.12196452173870057,4.95000000005,0.1371778069017455,4.95000000005,0.892,0.8440207972270364,0.9643564356435643,0.9001848428835489,0.01889870830945614,0.026273945715620233,0.01864484077074913,0.02579049002417283,0.018113058928466128,0.024870866971897308,0.16138759735557767,0.2409392320952243,0.14437110570795608,0.2075517993402131,0.16066494304122347,0.23008240020699947
train,16000,200000,0.0001,-1.8864156007766724,0.5395995378494263,0.5395995378494263,-1.8864156007766724,0.18902379274368286,0.004554836545139551,17.0,0.005968286655843258,17.0,0.007246218156069517,17.0,0.10110326111316681,17.0,0.13479985296726227,17.0,0.09690333902835846,17.0,,,,,,,,,,,,,,,,
train,17000,200000,0.0001,-1.9848694801330566,0.44114553928375244,0.44114553928375244,-1.9848694801330566,0.14619794487953186,0.008630752563476562,17.0,0.012313193641602993,17.0,0.009852622635662556,17.0,0.09395156055688858,17.0,0.10493624210357666,17.0,0.06526325643062592,17.0,,,,,,,,,,,,,,,,
train,18000,200000,0.0001,-1.5402858257293701,0.8857293128967285,0.8857293128967285,-1.5402858257293701,0.5376421809196472,0.004850046709179878,17.0,0.007297213189303875,17.0,0.012183654122054577,17.0,0.09704774618148804,17.0,0.1272342950105667,17.0,0.09947420656681061,17.0,,,,,,,,,,,,,,,,
train,19000,200000,0.0001,-1.681531310081482,0.7444836497306824,0.7444836497306824,-1.681531310081482,0.4577334225177765,0.0018876496469601989,10.0,0.0047522252425551414,10.0,0.003345998004078865,10.0,0.09227816015481949,10.0,0.08999200910329819,10.0,0.09449420869350433,10.0,,,,,,,,,,,,,,,,
train,20000,200000,0.0001,-1.7212913036346436,0.7047238945960999,0.7047238945960999,-1.7212913036346436,0.2126593440771103,0.006278859917074442,10.0,0.004002298228442669,10.0,0.00610255915671587,10.0,0.17876014113426208,10.0,0.10724715888500214,10.0,0.1896735280752182,10.0,,,,,,,,,,,,,,,,
val,20000,200000,,-1.7785663652420043,0.6474487685132772,0.6474487685132772,-1.7785663652420043,0.2515322180604562,0.005801666756306076,4.95000000005,0.005397182154893016,4.95000000005,0.005551913741946919,4.95000000005,0.12607057407032699,4.95000000005,0.12136272785573965,4.95000000005,0.13173249027342535,4.95000000005,0.896,0.857397504456328,0.9524752475247524,0.9024390243902439,0.01808526562809041,0.024656622288687147,0.017285918952859563,0.02355203757749123,0.018326955212449484,0.02432243805245112,0.14682553719842073,0.2099996497737797,0.14342699134440134,0.20478318196664583,0.15324416466885143,0.22916885572838366
train,21000,200000,0.0001,-1.8828470706939697,0.5431680083274841,0.5431680083274841,-1.8828470706939697,0.1599392145872116,0.008806097321212292,12.0,0.023360291495919228,12.0,0.00790551956743002,12.0,0.21756349503993988,12.0,0.08621692657470703,12.0,0.039376456290483475,12.0,,,,,,,,,,,,,,,,
train,22000,200000,0.0001,-1.8221379518508911,0.6038772463798523,0.6038772463798523,-1.8221379518508911,0.05815131589770317,0.0030538912396878004,18.0,0.0076132360845804214,18.0,0.004498475231230259,18.0,0.16962569952011108,18.0,0.18187223374843597,18.0,0.1790623962879181,18.0,,,,,,,,,,,,,,,,
train,23000,200000,0.0001,-1.5274300575256348,0.8985850811004639,0.8985850811004639,-1.5274300575256348,0.21104443073272705,0.005180752836167812,18.0,0.009456568397581577,18.0,0.009299573488533497,18.0,0.27297961711883545,18.0,0.17402666807174683,18.0,0.21659749746322632,18.0,,,,,,,,,,,,,,,,
train,24000,200000,0.0001,-1.4684467315673828,0.9575685262680054,0.9575685262680054,-1.4684467315673828,0.07770396769046783,0.002346778754144907,14.0,0.0038019686471670866,14.0,0.0059152948670089245,14.0,0.3401341736316681,14.0,0.19126756489276886,14.0,0.33639875054359436,14.0,,,,,,,,,,,,,,,,
train,25000,200000,0.0001,-1.8757721185684204,0.5502429604530334,0.5502429604530334,-1.8757721185684204,0.2819504141807556,0.003193499054759741,11.0,0.001956032356247306,11.0,0.0019473152933642268,11.0,0.07970555126667023,11.0,0.10768014937639236,11.0,0.07380996644496918,11.0,,,,,,,,,,,,,,,,
val,25000,200000,,-1.8093954050540924,0.6166197288222611,0.6166197288222611,-1.8093954050540924,0.23012766348780134,0.004126438416224118,4.95000000005,0.0042658732967174725,4.95000000005,0.005590648956294899,4.95000000005,0.11884353643516078,4.95000000005,0.12321328334510326,4.95000000005,0.13045228752773255,4.95000000005,0.9045,0.8527131782945736,0.9801980198019802,0.9120221096269,0.015040403019373465,0.020542607627173765,0.015094292993337442,0.02088770914542644,0.018019448264473766,0.0244823391500663,0.14063388360570175,0.2088868222985383,0.14595001901340002,0.233730325768487,0.1514803177780575,0.2241557499186721
train,26000,200000,0.0001,-1.863481879234314,0.5625331401824951,0.5625331401824951,-1.863481879234314,0.2257762998342514,0.0029336840379983187,15.0,0.0056779286824166775,15.0,0.0061072129756212234,15.0,0.12474841624498367,15.0,0.07225780189037323,15.0,0.12503182888031006,15.0,,,,,,,,,,,,,,,,
train,27000,200000,0.0001,-1.6499189138412476,0.7760962247848511,0.7760962247848511,-1.6499189138412476,0.27858683466911316,0.009491861797869205,11.0,0.002129233442246914,11.0,0.00814132485538721,11.0,0.18973638117313385,11.0,0.16038021445274353,11.0,0.1276303231716156,11.0,,,,,,,,,,,,,,,,
train,28000,200000,0.0001,-1.737118124961853,0.6888969540596008,0.6888969540596008,-1.737118124961853,0.3320644497871399,0.003331679617986083,12.0,0.006780596915632486,12.0,0.008766341023147106,12.0,0.12455245852470398,12.0,0.08949193358421326,12.0,0.12390949577093124,12.0,,,,,,,,,,,,,,,,
train,29000,200000,0.0001,-1.7858686447143555,0.6401463150978088,0.6401463150978088,-1.7858686447143555,0.007699298672378063,0.002776762004941702,14.0,0.0068013230338692665,14.0,0.0020799755584448576,14.0,0.15492470562458038,14.0,0.2539528012275696,14.0,0.21191143989562988,14.0,,,,,,,,,,,,,,,,
train,30000,200000,0.0001,-1.6426280736923218,0.7833868861198425,0.7833868861198425,-1.6426280736923218,0.4433685541152954,0.002146969549357891,12.0,0.0015605526277795434,12.0,0.0051425485871732235,12.0,0.07278653979301453,12.0,0.13290368020534515,12.0,0.1254781037569046,12.0,,,,,,,,,,,,,,,,
val,30000,200000,,-1.8015526077151298,0.6244625363219529,0.6244625363219529,-1.8015526077151298,0.25116527842124925,0.005516830718916026,4.95000000005,0.004760671966196241,4.95000000005,0.004003900211719156,4.95000000005,0.12655637880787254,4.95000000005,0.11445574043318629,4.95000000005,0.11800373471807689,4.95000000005,0.896,0.8450946643717728,0.9722772277227723,0.9042357274401474,0.01803856599944258,0.02375208418673827,0.016067222246636797,0.02181290422493718,0.015104338312239358,0.02040699864923379,0.14977256034811337,0.22790877520426195,0.13359539018887462,0.2089761389894107,0.14076028142989885,0.22989626086867607
train,31000,200000,0.0001,-1.6181217432022095,0.8078933954238892,0.8078933954238892,-1.6181217432022095,0.02217899076640606,0.005793136544525623,10.0,0.005806935019791126,10.0,0.0038258463609963655,10.0,0.25582313537597656,10.0,0.30630531907081604,10.0,0.20816007256507874,10.0,,,,,,,,,,,,,,,,
train,32000,200000,0.0001,-1.99117112159729,0.4348440170288086,0.4348440170288086,-1.99117112159729,0.1820758879184723,0.004537852015346289,11.0,0.002992678666487336,11.0,0.007229773793369532,11.0,0.07036799192428589,11.0,0.04970733821392059,11.0,0.11793249100446701,11.0,,,,,,,,,,,,,,,,
train,33000,200000,0.0001,-1.7114778757095337,0.7145374417304993,0.7145374417304993,-1.7114778757095337,0.29580676555633545,0.006622371729463339,20.0,0.00876864604651928,20.0,0.003705081297084689,20.0,0.15807890892028809,20.0,0.14727342128753662,20.0,0.09428219497203827,20.0,,,,,,,,,,,,,,,,
train,34000,200000,0.0001,-1.656120777130127,0.7698942422866821,0.7698942422866821,-1.656120777130127,0.45307186245918274,0.0019593045581132174,13.0,0.0015645748935639858,13.0,0.006595424842089415,13.0,0.09718836098909378,13.0,0.10628923028707504,13.0,0.10322554409503937,13.0,,,,,,,,,,,,,,,,
train,35000,200000,0.0001,-1.6289130449295044,0.7971022129058838,0.7971022129058838,-1.6289130449295044,0.37874871492385864,0.0037466385401785374,15.0,0.004186743404716253,15.0,0.005014376249164343,15.0,0.1344824582338333,15.0,0.12641941010951996,15.0,0.14450384676456451,15.0,,,,,,,,,,,,,,,,
val,35000,200000,,-1.8496726644039154,0.57634247103706,0.57634247103706,-1.8496726644039154,0.21658217992284334,0.0037564311119058402,4.95000000005,0.004588234967823155,4.95000000005,0.005873246282517357,4.95000000005,0.11616227350197733,4.95000000005,0.11214873612392694,4.95000000005,0.11723137207329273,4.95000000005,0.9095,0.8620087336244542,0.9772277227722772,0.9160092807424595,0.014377808492310871,0.019300191617794768,0.01648351517035579,0.0216700589568404,0.018088581196192388,0.024292040669795102,0.14300579445229636,0.2215702263141862,0.13937725063526268,0.22056421845005508,0.14332592768049,0.23453639362088483
train,36000,200000,0.0001,-1.755100131034851,0.6709149479866028,0.6709149479866028,-1.755100131034851,0.30696120858192444,0.003578866831958294,13.0,0.003872731002047658,13.0,0.0020428760908544064,13.0,0.1411910504102707,13.0,0.12496285885572433,13.0,0.08830536901950836,13.0,,,,,,,,,,,,,,,,
train,37000,200000,0.0001,-1.8714381456375122,0.5545768737792969,0.5545768737792969,-1.8714381456375122,0.2437070906162262,0.0015946610365062952,18.0,0.006010413635522127,18.0,0.005127699114382267,18.0,0.11042425036430359,18.0,0.09934544563293457,18.0,0.08836731314659119,18.0,,,,,,,,,,,,,,,,
train,38000,200000,0.0001,-1.9332420825958252,0.4927731454372406,0.4927731454372406,-1.9332420825958252,0.14705435931682587,0.005385284777730703,15.0,0.006888836622238159,15.0,0.005174632649868727,15.0,0.10105158388614655,15.0,0.11049523204565048,15.0,0.11672321707010269,15.0,,,,,,,,,,,,,,,,
train,39000,200000,0.0001,-1.7087007761001587,0.7173143625259399,0.7173143625259399,-1.7087007761001587,0.3898310661315918,0.004847676493227482,14.0,0.003859609365463257,14.0,0.004158975090831518,14.0,0.09342730045318604,14.0,0.08416862040758133,14.0,0.13702110946178436,14.0,,,,,,,,,,,,,,,,
train,40000,200000,0.0001,-1.8128308057785034,0.61318439245224,0.61318439245224,-1.8128308057785034,0.31594952940940857,0.0049163359217345715,17.0,0.010966637171804905,17.0,0.00532213831320405,17.0,0.08994702994823456,17.0,0.10852322727441788,17.0,0.07755948603153229,17.0,,,,,,,,,,,,,,,,
val,40000,200000,,-1.834093270301819,0.5919218712486327,0.5919218712486327,-1.834093270301819,0.21815502799116074,0.004214695318296435,4.95000000005,0.004920735219930066,4.95000000005,0.003900791379819566,4.95000000005,0.11687538112164475,4.95000000005,0.12109412048244848,4.95000000005,0.1227611189847812,4.95000000005,0.907,0.8545611015490534,0.9831683168316832,0.9143646408839778,0.014761173848363788,0.020160740152809473,0.017139618728084095,0.022310185658652504,0.01499309556681023,0.01997755718836724,0.13935726450925523,0.21732147615217212,0.1419827148167774,0.22022431164210063,0.14254998748726916,0.2311824494036114
train,41000,200000,0.0001,-1.4707667827606201,0.9552483558654785,0.9552483558654785,-1.4707667827606201,0.3774013817310333,0.0013082786463201046,15.0,0.0013930632267147303,15.0,0.006559050176292658,15.0,0.2258148193359375,15.0,0.17894798517227173,15.0,0.16382381319999695,15.0,,,,,,,,,,,,,,,,
train,42000,200000,0.0001,-1.9485580921173096,0.4774570167064667,0.4774570167064667,-1.9485580921173096,0.2102254182100296,0.0066794524900615215,13.0,0.008200010284781456,13.0,0.004207008518278599,13.0,0.07748864591121674,13.0,0.08615420758724213,13.0,0.08450224995613098,13.0,,,,,,,,,,,,,,,,
train,43000,200000,0.0001,-1.8033583164215088,0.6226567625999451,0.6226567625999451,-1.8033583164215088,0.271499902009964,0.007205782923847437,20.0,0.0037975753657519817,20.0,0.004007638897746801,20.0,0.0905432403087616,20.0,0.09151049703359604,20.0,0.15409211814403534,20.0,,,,,,,,,,,,,,,,
train,44000,200000,0.0001,-1.7077897787094116,0.7182253003120422,0.7182253003120422,-1.7077897787094116,0.38038909435272217,0.005611774977296591,19.0,0.0056253233924508095,19.0,0.003846418345347047,19.0,0.10767088085412979,19.0,0.10841690748929977,19.0,0.10666489601135254,19.0,,,,,,,,,,,,,,,,
train,45000,200000,0.0001,-1.985864281654358,0.44015082716941833,0.44015082716941833,-1.985864281654358,0.11003321409225464,0.003986187279224396,20.0,0.0043759942054748535,20.0,0.004906526301056147,20.0,0.11061851680278778,20.0,0.08547663688659668,20.0,0.12075374275445938,20.0,,,,,,,,,,,,,,,,
val,45000,200000,,-1.856559211909771,0.5694559102132917,0.5694559102132917,-1.856559211909771,0.21015737113310023,0.00419687609806715,4.95000000005,0.004353064836486738,4.95000000005,0.004634561054772348,4.95000000005,0.11463641575770453,4.95000000005,0.11877331800060346,4.95000000005,0.11270430273201783,4.95000000005,0.9115,0.8689105403011514,0.9712871287128713,0.917251051893408,0.015098854361308946,0.02046500836541248,0.01571666161915419,0.02147588629763892,0.016674735790325537,0.02154378002932553,0.13803491144807953,0.21923968895523868,0.14062220667949832,0.22377536437585754,0.1338798870737053,0.21898700235666724
train,46000,200000,0.0001,-1.9655866622924805,0.460428386926651,0.460428386926651,-1.9655866622924805,0.13790135085582733,0.003382062306627631,18.0,0.0016341196605935693,18.0,0.005076219327747822,18.0,0.1437940001487732,18.0,0.0860227718949318,18.0,0.0826178789138794,18.0,,,,,,,,,,,,,,,,
train,47000,200000,0.0001,-1.8598345518112183,0.5661806464195251,0.5661806464195251,-1.8598345518112183,0.3054913282394409,0.006318469066172838,14.0,0.0017677393043413758,14.0,0.010016905143857002,14.0,0.0704151839017868,14.0,0.06762683391571045,14.0,0.10454417765140533,14.0,,,,,,,,,,,,,,,,
train,48000,200000,0.0001,-2.0676705837249756,0.3583446145057678,0.3583446145057678,-2.0676705837249756,0.13078729808330536,0.004130915272980928,12.0,0.003750641131773591,12.0,0.004490679129958153,12.0,0.08666197210550308,12.0,0.07963170856237411,12.0,0.04889138042926788,12.0,,,,,,,,,,,,,,,,
train,49000,200000,0.0001,-1.7390369176864624,0.6869783401489258,0.6869783401489258,-1.7390369176864624,0.2661682069301605,0.003193741897121072,13.0,0.005194213707000017,13.0,0.002454791683703661,13.0,0.22356799244880676,13.0,0.10762982815504074,13.0,0.07876954972743988,13.0,,,,,,,,,,,,,,,,
train,50000,200000,0.0001,-1.5592155456542969,0.8667996525764465,0.8667996525764465,-1.5592155456542969,0.3428022563457489,0.004986259620636702,17.0,0.005715913604944944,17.0,0.005896630696952343,17.0,0.2150629758834839,17.0,0.21473388373851776,17.0,0.07760173082351685,17.0,,,,,,,,,,,,,,,,
val,50000,200000,,-1.8682437539100647,0.5577713937684894,0.5577713937684894,-1.8682437539100647,0.20872260089730843,0.003724746917941957,4.95000000005,0.004475118635118633,4.95000000005,0.004645704097347334,4.95000000005,0.10936018487991532,4.95000000005,0.11081291175629303,4.95000000005,0.11603012604638935,4.95000000005,0.9185,0.8791405550581916,0.9722772277227723,0.9233662435354961,0.014463500434419874,0.01948788735827532,0.01542088807151286,0.021250086302686516,0.016652914610776035,0.021718452646444036,0.13586622569898163,0.21216366826324792,0.13526023224824005,0.21054175994966315,0.13881678908235498,0.22235472765219516
train,51000,200000,0.0001,-1.9290858507156372,0.4969292879104614,0.4969292879104614,-1.9290858507156372,0.13066376745700836,0.001311758067458868,12.0,0.004440580029040575,12.0,0.0038593243807554245,12.0,0.1689266711473465,12.0,0.10551837831735611,12.0,0.08220880478620529,12.0,,,,,,,,,,,,,,,,
train,52000,200000,0.0001,-1.7720996141433716,0.653915524482727,0.653915524482727,-1.7720996141433716,0.3473025858402252,0.0018057498382404447,15.0,0.0016305181197822094,15.0,0.0030907457694411278,15.0,0.09625865519046783,15.0,0.09668894857168198,15.0,0.10713830590248108,15.0,,,,,,,,,,,,,,,,
train,53000,200000,0.0001,-1.7418923377990723,0.6841226816177368,0.6841226816177368,-1.7418923377990723,0.3706244230270386,0.0035704495385289192,11.0,0.00437805475667119,11.0,0.006842237897217274,11.0,0.08750777691602707,11.0,0.06646250933408737,11.0,0.14473721385002136,11.0,,,,,,,,,,,,,,,,
train,54000,200000,0.0001,-1.6975306272506714,0.7284847497940063,0.7284847497940063,-1.6975306272506714,0.29096299409866333,0.0040989285334944725,13.0,0.003858187235891819,13.0,0.002090118359774351,13.0,0.16251786053180695,13.0,0.08098950982093811,13.0,0.18396711349487305,13.0,,,,,,,,,,,,,,,,
train,55000,200000,0.0001,-1.9073609113693237,0.5186542272567749,0.5186542272567749,-1.9073609113693237,0.13078507781028748,0.001889775157906115,14.0,0.0028083298821002245,14.0,0.002747560618445277,14.0,0.20400449633598328,14.0,0.06801323592662811,14.0,0.10840572416782379,14.0,,,,,,,,,,,,,,,,
val,55000,200000,,-1.8919759908318519,0.5340391514031216,0.5340391514031216,-1.8919759908318519,0.2119945986944367,0.003348974471282418,4.95000000005,0.002816624796105316,4.95000000005,0.004504825762851396,4.95000000005,0.10027627191040665,4.95000000005,0.10710502041747531,4.95000000005,0.10399283514823765,4.95000000005,0.9135,0.8661417322834646,0.9801980198019802,0.9196470041802136,0.013606321157868763,0.01813871926096974,0.012820595924300376,0.016958970891486458,0.01580777218979266,0.021517067214334832,0.12482876159024961,0.18004354354176813,0.13175577346724693,0.20151432719022472,0.12649118845360446,0.19300573937731075
train,56000,200000,0.0001,-1.7303333282470703,0.695681631565094,0.695681631565094,-1.7303333282470703,0.2887093722820282,0.008027056232094765,19.0,0.005042010918259621,19.0,0.006445618811994791,19.0,0.14023475348949432,19.0,0.11330416053533554,19.0,0.13391871750354767,19.0,,,,,,,,,,,,,,,,
train,57000,200000,0.0001,-2.119464874267578,0.3065502345561981,0.3065502345561981,-2.119464874267578,0.024304864928126335,0.004136952105909586,15.0,0.0037097781896591187,15.0,0.0028401920571923256,15.0,0.09085991978645325,15.0,0.09448320418596268,15.0,0.08621532469987869,15.0,,,,,,,,,,,,,,,,
train,58000,200000,0.0001,-1.8398422002792358,0.586172878742218,0.586172878742218,-1.8398422002792358,0.2733694314956665,0.0011561550199985504,14.0,0.00141206756234169,14.0,0.003025656333193183,14.0,0.08609040081501007,14.0,0.09425906836986542,14.0,0.1268600970506668,14.0,,,,,,,,,,,,,,,,
train,59000,200000,0.0001,-1.7642261981964111,0.6617890000343323,0.6617890000343323,-1.7642261981964111,0.29005318880081177,0.005488178227096796,15.0,0.006710073444992304,15.0,0.008047078736126423,15.0,0.11920329183340073,15.0,0.0874425545334816,15.0,0.14484459161758423,15.0,,,,,,,,,,,,,,,,
train,60000,200000,0.0001,-1.6405391693115234,0.7854759097099304,0.7854759097099304,-1.6405391693115234,0.5337902307510376,0.006036413833498955,16.0,0.004322516266256571,16.0,0.0043138740584254265,16.0,0.07229556143283844,16.0,0.07696542143821716,16.0,0.08775193989276886,16.0,,,,,,,,,,,,,,,,
val,60000,200000,,-1.8927039682865143,0.5333111674780957,0.5333111674780957,-1.8927039682865143,0.23678983586723917,0.003516416282150203,4.95000000005,0.0032456685807483155,4.95000000005,0.00406544863471936,4.95000000005,0.09753116889391095,4.95000000005,0.09219463557150448,4.95000000005,0.09596799181559618,4.95000000005,0.9005,0.8474721508140531,0.9792079207920792,0.9085898024804777,0.014173711778953522,0.018893630526100012,0.013266168447267829,0.01818643243400832,0.015162603921172293,0.020294840643271743,0.12141419053077698,0.18154538510558993,0.11703205544764947,0.17261598720943705,0.11987383366383687,0.1810650087901792
train,61000,200000,0.0001,-1.7796343564987183,0.6463806629180908,0.6463806629180908,-1.7796343564987183,0.3289726674556732,0.005403717048466206,15.0,0.003632534295320511,15.0,0.005646866746246815,15.0,0.04347661882638931,15.0,0.13148444890975952,15.0,0.12776382267475128,15.0,,,,,,,,,,,,,,,,
train,62000,200000,0.0001,-1.7553681135177612,0.6706470251083374,0.6706470251083374,-1.7553681135177612,0.2082248330116272,0.006928290706127882,11.0,0.0021944770123809576,11.0,0.008374109864234924,11.0,0.1283121258020401,11.0,0.13210855424404144,11.0,0.1845046579837799,11.0,,,,,,,,,,,,,,,,
train,63000,200000,0.0001,-1.9446098804473877,0.4814053475856781,0.4814053475856781,-1.9446098804473877,0.1114349514245987,0.004944183863699436,14.0,0.008425666950643063,14.0,0.006762816570699215,14.0,0.08741535991430283,14.0,0.18127872049808502,14.0,0.08114365488290787,14.0,,,,,,,,,,,,,,,,
