phase,step,max_steps,lr,loss,loss/raw_sum,loss/weighted_no_reg,loss/total,loss/g_ws,loss/g_red,loss/g_margin,loss/g_self,loss/g_selfpass,loss/g_lim,loss/g_rot,loss/g_man,loss/g_iso,loss/g_sigma,mask/g_red_den,mask/g_margin_den,mask/g_self_den,mask/g_selfpass_den,mask/g_lim_den,mask/g_rot_den,mask/g_man_den,mask/g_iso_den,mask/g_sigma_den,ws_acc,ws_precision,ws_recall,ws_f1,g_red_mae,g_red_rmse,g_margin_mae,g_margin_rmse,g_self_mae,g_self_rmse,g_selfpass_mae,g_selfpass_rmse,g_lim_mae,g_lim_rmse,g_rot_mae,g_rot_rmse,g_man_mae,g_man_rmse,g_iso_mae,g_iso_rmse,g_sigma_mae,g_sigma_rmse
train,1200,50000,0.0001,-2.868112564086914,0.5976231694221497,0.5976231694221497,-2.868112564086914,0.13137318193912506,0.06083041802048683,0.0903235450387001,0.15373343229293823,0.0113805728033185,0.04013367369771004,0.06269504874944687,0.0041063157841563225,0.006848481018096209,0.03619851917028427,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,1300,50000,0.0001,-2.538391590118408,0.9273442029953003,0.9273442029953003,-2.538391590118408,0.2878543734550476,0.10771587491035461,0.20431603491306305,0.003629170125350356,3.930867023882456e-05,0.04446539655327797,0.2521466910839081,0.006338015198707581,0.002287337789312005,0.018551979213953018,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,1400,50000,0.0001,-2.937455415725708,0.5282803773880005,0.5282803773880005,-2.937455415725708,0.19799010455608368,0.0660937950015068,0.10342580825090408,0.006010076496750116,0.0012120608007535338,0.04430787265300751,0.04574889317154884,0.0012132241390645504,0.00206821970641613,0.06021033227443695,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,1500,50000,0.0001,-3.0667524337768555,0.3989831507205963,0.3989831507205963,-3.0667524337768555,0.14001435041427612,0.0550377331674099,0.0932813212275505,0.0006720401579514146,2.8314858354860917e-05,0.028031297028064728,0.045641571283340454,0.001180367893539369,0.002163673285394907,0.03293247148394585,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
val,1500,50000,,-2.836876385807991,0.6288595326989889,0.6288595326989889,,,,,,,,,,,,,,,,,,,,,0.9425,0.9512635379061372,0.9789473684210527,0.9649069270674397,0.10832680465636238,0.14776015384414373,0.1358998299936761,0.180568084782258,0.0978953008681259,0.19076251887211004,0.0026800843953348166,0.017687659154491078,0.058650807736458796,0.0742635042702257,0.10627255755312302,0.14224388517869652,0.013909494277124434,0.019814646339863504,0.026103555035111334,0.046966395580259876,0.054417823121274585,0.07878330311310171
train,1600,50000,0.0001,-2.911196231842041,0.554539680480957,0.554539680480957,-2.911196231842041,0.11675848811864853,0.11671704053878784,0.0859956368803978,0.03771110624074936,3.917835056199692e-05,0.03610331192612648,0.12757360935211182,0.00214147986844182,0.0032019123900681734,0.028297903016209602,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,1700,50000,0.0001,-3.0742027759552,0.391533225774765,0.391533225774765,-3.0742027759552,0.0345023088157177,0.10275179892778397,0.08709116280078888,0.007463044952601194,3.3521497243782505e-05,0.025519752874970436,0.09442650526762009,0.008816532790660858,0.0033058873377740383,0.027622690424323082,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,1800,50000,0.0001,-2.420389175415039,1.0453466176986694,1.0453466176986694,-2.420389175415039,0.18430203199386597,0.10269364714622498,0.08215435594320297,0.42063573002815247,0.0002456368238199502,0.053747981786727905,0.11548803001642227,0.0005202420870773494,0.04921947047114372,0.036339569836854935,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,1900,50000,0.0001,-3.18924617767334,0.2764897048473358,0.2764897048473358,-3.18924617767334,0.03298404440283775,0.03923500329256058,0.07606448233127594,0.013096202164888382,0.02757822349667549,0.02735625021159649,0.032920219004154205,0.00019712549692485482,0.0007684192969463766,0.026289748027920723,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,2000,50000,0.0001,-2.982102870941162,0.483632892370224,0.483632892370224,-2.982102870941162,0.1137223169207573,0.09660791605710983,0.09092064946889877,0.00039257746539078653,1.4011374332767446e-05,0.03978441283106804,0.06561636924743652,0.00019126094412058592,0.0030239622574299574,0.07335943728685379,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
