phase,step,max_steps,lr,loss,loss/raw_sum,loss/weighted_no_reg,loss/total,loss/g_ws,loss/g_red,loss/g_margin,loss/g_self,loss/g_selfpass,loss/g_lim,loss/g_rot,loss/g_man,loss/g_iso,loss/g_sigma,mask/g_red_den,mask/g_margin_den,mask/g_self_den,mask/g_selfpass_den,mask/g_lim_den,mask/g_rot_den,mask/g_man_den,mask/g_iso_den,mask/g_sigma_den,ws_acc,ws_precision,ws_recall,ws_f1,g_red_mae,g_red_rmse,g_margin_mae,g_margin_rmse,g_self_mae,g_self_rmse,g_selfpass_mae,g_selfpass_rmse,g_lim_mae,g_lim_rmse,g_rot_mae,g_rot_rmse,g_man_mae,g_man_rmse,g_iso_mae,g_iso_rmse,g_sigma_mae,g_sigma_rmse
train,12900,50000,0.0001,-3.1769583225250244,0.2887774109840393,0.2887774109840393,-3.1769583225250244,0.02299504727125168,0.06160663813352585,0.09635043889284134,0.0006872665835544467,0.00014399990322999656,0.02774745225906372,0.03571278229355812,0.00016481585043948144,0.0021834520157426596,0.04118550196290016,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,13000,50000,0.0001,-2.9716882705688477,0.4940473139286041,0.4940473139286041,-2.9716882705688477,0.15231138467788696,0.07764739543199539,0.15514172613620758,8.419638470513746e-05,4.846195679419907e-06,0.03781822323799133,0.05881834402680397,7.194432691903785e-05,0.000590246170759201,0.011559050530195236,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
val,13000,50000,,-2.9191592526435852,0.5465766429156065,0.5465766429156065,,,,,,,,,,,,,,,,,,,,,0.9585,0.9665042630937881,0.9826625386996904,0.9745164261590421,0.09988924879407735,0.143356238737137,0.12131419073871046,0.16683886196205455,0.09830870650501074,0.20055823315148866,0.002244102106005784,0.03684265803477669,0.05772640223473587,0.07387443125669682,0.09986377260171961,0.13662734772870325,0.011047139115366311,0.015744359607910492,0.02375677442610633,0.054349993273026385,0.03984190872394633,0.05983492735302086
train,13100,50000,0.0001,-3.1631884574890137,0.3025473952293396,0.3025473952293396,-3.1631884574890137,0.01369660533964634,0.066315196454525,0.0816618874669075,0.013286367990076542,0.012029782868921757,0.04433518275618553,0.04401786997914314,6.052723983884789e-05,0.0009636142058297992,0.02618032693862915,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,
train,13200,50000,0.0001,-3.148500442504883,0.31723541021347046,0.31723541021347046,-3.148500442504883,0.01948690041899681,0.08842147141695023,0.0784120112657547,0.00011663597979350016,2.9486009225365706e-06,0.04174937680363655,0.05782405287027359,5.4993299272609875e-05,0.001192837255075574,0.029974190518260002,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,13300,50000,0.0001,-3.2981114387512207,0.16762442886829376,0.16762442886829376,-3.2981114387512207,0.029368218034505844,0.02925150841474533,0.03923974186182022,8.19722336018458e-05,2.3673740656704467e-07,0.018343254923820496,0.03076597861945629,5.85330453759525e-05,0.0007568835862912238,0.019758088514208794,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,13400,50000,0.0001,-2.119375705718994,1.3463600873947144,1.3463600873947144,-2.119375705718994,0.40268388390541077,0.09869054704904556,0.13553020358085632,0.46018466353416443,7.490325515391305e-07,0.07935232669115067,0.11384836584329605,0.0003880642761941999,0.03429250046610832,0.021388864144682884,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,13500,50000,0.0001,-3.242901563644409,0.22283436357975006,0.22283436357975006,-3.242901563644409,0.021984953433275223,0.03551532328128815,0.06805521994829178,0.0046060411259531975,0.001803282997570932,0.028037937358021736,0.035979919135570526,3.769155955524184e-05,0.0034854579716920853,0.02332855574786663,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
val,13500,50000,,-2.9094787842035292,0.5562571215629578,0.5562571215629578,,,,,,,,,,,,,,,,,,,,,0.952,0.960582171012735,0.9808049535603716,0.9705882352941176,0.09665958181069731,0.1369965528995181,0.10908976403921382,0.1593136521414164,0.09874693146984644,0.20970934770497163,0.0014391804996289705,0.022915553899467592,0.05816439919796521,0.07556496930128236,0.09746455179279434,0.13437944157855025,0.012146976286251294,0.019257946600023477,0.018846572716446484,0.04111495046659424,0.04116163825841142,0.06335149795190108
train,13600,50000,0.0001,-2.9049160480499268,0.5608199238777161,0.5608199238777161,-2.9049160480499268,0.12629790604114532,0.07358741015195847,0.15726716816425323,0.0034289543982595205,6.266995455916913e-07,0.07449611276388168,0.0976872518658638,0.00023864893591962755,0.017092160880565643,0.010723665356636047,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,13700,50000,0.0001,-2.9885799884796143,0.477155864238739,0.477155864238739,-2.9885799884796143,0.1123078241944313,0.04003250598907471,0.038574643433094025,0.09060554951429367,1.3645450280819205e-06,0.042983394116163254,0.058527737855911255,0.0002853518817573786,0.05738278850913048,0.0364547073841095,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
train,13800,50000,0.0001,-3.1955347061157227,0.2702009081840515,0.2702009081840515,-3.1955347061157227,0.09944441169500351,0.025466151535511017,0.0686570554971695,6.175944145070389e-05,6.890598797326675e-06,0.02481260523200035,0.038440946489572525,5.451561082736589e-05,0.0006433975649997592,0.012613184750080109,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,13900,50000,0.0001,-2.949801206588745,0.5159347057342529,0.5159347057342529,-2.949801206588745,0.29652494192123413,0.05243273079395294,0.07413271814584732,7.889077824074775e-05,3.118382892353111e-06,0.03592188283801079,0.03403903543949127,0.00021576136350631714,0.0014127257745712996,0.021172916516661644,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,14000,50000,0.0001,-3.2331326007843018,0.23260322213172913,0.23260322213172913,-3.2331326007843018,0.022470492869615555,0.0468946248292923,0.06778573989868164,0.0018031703075394034,0.000217025910387747,0.029737772420048714,0.04677818343043327,6.189310806803405e-05,0.0008097616373561323,0.016044551506638527,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
val,14000,50000,,-2.912901701927185,0.5528341975808143,0.5528341975808143,,,,,,,,,,,,,,,,,,,,,0.9515,0.9523241954707986,0.9894736842105263,0.9705435772851503,0.0932149653464279,0.1329771584804265,0.11700380353182092,0.16015010002113028,0.10246494896825253,0.22865539409076757,0.0013609877311777405,0.020621876449304983,0.058215345022479076,0.07482245546087699,0.09641116510142483,0.13090904077730903,0.01092117677324512,0.016230770593775107,0.020125697411296908,0.040286440876601014,0.04405645144059562,0.06730603334695864
train,14100,50000,0.0001,-3.0662593841552734,0.3994766175746918,0.3994766175746918,-3.0662593841552734,0.131991446018219,0.08286567032337189,0.05375835672020912,0.0033790976740419865,9.080957170226611e-06,0.050241101533174515,0.04632534831762314,7.624972931807861e-05,0.0010416980367153883,0.029788505285978317,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,14200,50000,0.0001,-3.26403546333313,0.20170065760612488,0.20170065760612488,-3.26403546333313,0.0032935375347733498,0.06376587599515915,0.07549925893545151,0.00011433607141952962,5.503262059392e-07,0.013745924457907677,0.029043307527899742,9.821000276133418e-05,0.0005398663925006986,0.015599804930388927,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,
train,14300,50000,0.0001,-2.7792670726776123,0.6864688992500305,0.6864688992500305,-2.7792670726776123,0.3586951494216919,0.10304209589958191,0.08628645539283752,0.0005374166066758335,6.973810400268121e-07,0.06138960272073746,0.04209292680025101,0.00013404661149252206,0.001591722248122096,0.032698750495910645,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,
train,14400,50000,0.0001,-2.8380818367004395,0.6276544332504272,0.6276544332504272,-2.8380818367004395,0.367328017950058,0.07248731702566147,0.05532975494861603,8.600638102507219e-05,1.6960973425739212e-07,0.0559452660381794,0.0521991066634655,0.00048009256715886295,0.0013509811833500862,0.022447675466537476,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,14500,50000,0.0001,-2.865617275238037,0.6001188158988953,0.6001188158988953,-2.865617275238037,0.20402924716472626,0.02940080128610134,0.07988718152046204,0.15219436585903168,5.17562402819749e-05,0.05623890087008476,0.03973011672496796,0.00034999323543161154,0.023045865818858147,0.015190514735877514,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
val,14500,50000,,-2.9223248660564423,0.54341103464365,0.54341103464365,,,,,,,,,,,,,,,,,,,,,0.956,0.9515079834417505,0.9962848297213622,0.9733817301875378,0.09394976714447187,0.1343951808245932,0.11406536862577078,0.15938841423429093,0.10177349814505031,0.2325607339007758,0.0015597071071896391,0.021893269582748787,0.058020889998958575,0.07511182962648966,0.10114047089966458,0.13632796428441715,0.010997004437638049,0.016231195083932462,0.02135851813174623,0.04566636350698444,0.04489520981953978,0.06816943703019161
train,14600,50000,0.0001,-2.7647039890289307,0.7010321617126465,0.7010321617126465,-2.7647039890289307,0.258914977312088,0.05872272327542305,0.0934232845902443,0.1386445015668869,0.0004048500850331038,0.06062275171279907,0.051488813012838364,0.00021826285228598863,0.024504758417606354,0.014087208546698093,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,14700,50000,0.0001,-3.1629738807678223,0.30276215076446533,0.30276215076446533,-3.1629738807678223,0.04876135289669037,0.09846886247396469,0.06415367871522903,0.00021411462512332946,6.605427188333124e-06,0.04063829779624939,0.02003326267004013,5.965661330264993e-05,0.0012135308934375644,0.029212789610028267,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,14800,50000,0.0001,-3.163588047027588,0.3021478056907654,0.3021478056907654,-3.163588047027588,0.1267508715391159,0.04215162247419357,0.05311005190014839,0.00018219923367723823,8.317929882650787e-07,0.023184943944215775,0.04605323076248169,0.00014285705401562154,0.0006566180381923914,0.00991461519151926,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,14900,50000,0.0001,-3.2364823818206787,0.22925351560115814,0.22925351560115814,-3.2364823818206787,0.04165608063340187,0.02956835739314556,0.07111284136772156,8.406644337810576e-05,0.00010946262045763433,0.03741355240345001,0.022807568311691284,8.130368223646656e-05,0.0005497177480719984,0.025870567187666893,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,15000,50000,0.0001,-2.769482374191284,0.6962536573410034,0.6962536573410034,-2.769482374191284,0.1863790899515152,0.15677893161773682,0.17102761566638947,0.04838848486542702,4.307138078729622e-05,0.058559514582157135,0.009519710205495358,7.675791857764125e-05,0.042940057814121246,0.022540362551808357,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
val,15000,50000,,-2.9418696928024293,0.5238662277162075,0.5238662277162075,,,,,,,,,,,,,,,,,,,,,0.967,0.9702489374620522,0.9894736842105263,0.979767014101778,0.09443199318075328,0.1321151725545153,0.1100141038374266,0.15497064901976518,0.11497499900336605,0.21670020694939926,0.0011241953439387743,0.014207041051930847,0.057312421274628066,0.07430284955560601,0.09551458413202327,0.13063799579277946,0.010482241803543763,0.015799159724664648,0.01937555686423653,0.04803709526012441,0.04149322198824986,0.0650902418130372
train,15100,50000,0.0001,-3.169847011566162,0.2958892285823822,0.2958892285823822,-3.169847011566162,0.05595153942704201,0.043576836585998535,0.10310567915439606,0.0029975452926009893,0.00033723816159181297,0.02174292877316475,0.04052764177322388,0.0001304241450270638,0.0011831480078399181,0.026336243376135826,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,15200,50000,0.0001,-3.1681876182556152,0.2975481450557709,0.2975481450557709,-3.1681876182556152,0.0952904149889946,0.03893081098794937,0.04973696172237396,6.329907046165317e-05,4.346593982518243e-07,0.04723305255174637,0.03521177917718887,0.00034446088830009103,0.0015511055244132876,0.029185859486460686,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,15300,50000,0.0001,-3.291343927383423,0.17439204454421997,0.17439204454421997,-3.291343927383423,0.012882490642368793,0.04552712291479111,0.03136786073446274,0.014847420156002045,0.00012033752136630937,0.018040502443909645,0.026748036965727806,7.898997864685953e-05,0.0008141424623318017,0.023965153843164444,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,15400,50000,0.0001,-3.2874209880828857,0.17831483483314514,0.17831483483314514,-3.2874209880828857,0.00855202879756689,0.03802436217665672,0.047690410166978836,4.990154775441624e-05,3.531313268467784e-07,0.03526880964636803,0.021464789286255836,2.5096660465351306e-05,0.0007834296557120979,0.026455653831362724,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,15500,50000,0.0001,-3.308619976043701,0.15711598098278046,0.15711598098278046,-3.308619976043701,0.005874532274901867,0.047906842082738876,0.021603314206004143,0.005732296500355005,2.5698068384372164e-07,0.020277783274650574,0.036944400519132614,0.001324912067502737,0.0012018447741866112,0.01624980755150318,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
val,15500,50000,,-2.9452127057313917,0.5205231979489326,0.5205231979489326,,,,,,,,,,,,,,,,,,,,,0.9595,0.9576372315035799,0.9938080495356038,0.9753874202370101,0.09502417029980166,0.13154087662357883,0.10756180884299263,0.14985678844098305,0.09145627084531283,0.19610534644296065,0.0008171185251359969,0.01820680577883838,0.05639090955072881,0.07296782005166945,0.08944920263607804,0.1229465932140579,0.01169857403995821,0.01827106717751439,0.02218872594528892,0.04239313310006889,0.048111747957235516,0.07143469002113949
train,15600,50000,0.0001,-2.553325891494751,0.9124101996421814,0.9124101996421814,-2.553325891494751,0.3287546932697296,0.07537826895713806,0.13022473454475403,0.02261604741215706,4.209840335533954e-05,0.055865246802568436,0.21771734952926636,0.0003438261628616601,0.04038415849208832,0.04108385369181633,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,15700,50000,0.0001,-3.1044375896453857,0.3612980246543884,0.3612980246543884,-3.1044375896453857,0.1627121865749359,0.041595544666051865,0.075782410800457,7.191512122517452e-05,9.253857768953822e-08,0.03700494393706322,0.032285407185554504,0.00019254963262937963,0.0006561933550983667,0.010996783152222633,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,15800,50000,0.0001,-3.2133429050445557,0.25239306688308716,0.25239306688308716,-3.2133429050445557,0.054972972720861435,0.05781257897615433,0.04984598606824875,0.00012868197518400848,4.089354661118705e-06,0.031035935506224632,0.02756372094154358,5.317107934388332e-05,0.000755749293603003,0.03022018074989319,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,
train,15900,50000,0.0001,-3.0188252925872803,0.44691094756126404,0.44691094756126404,-3.0188252925872803,0.10201522707939148,0.07509208470582962,0.09190299361944199,0.004826609510928392,3.141012939522625e-06,0.04269801825284958,0.09375834465026855,0.0002807582204695791,0.014752963557839394,0.021580807864665985,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,16000,50000,0.0001,-3.0604493618011475,0.4052865207195282,0.4052865207195282,-3.0604493618011475,0.15320344269275665,0.06525938212871552,0.08235122263431549,0.0003943144402001053,8.694838697920204e-07,0.022920500487089157,0.039024919271469116,5.689227327820845e-05,0.001213175943121314,0.04086185619235039,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,
val,16000,50000,,-2.915799536108971,0.5499363730847836,0.5499363730847836,,,,,,,,,,,,,,,,,,,,,0.955,0.9525222551928784,0.9938080495356038,0.9727272727272728,0.09632983635822685,0.1316606559133576,0.11408591153267367,0.1565502016734837,0.10011238335824972,0.20706576469261012,0.001129556145092282,0.02039792568204363,0.06144883723081819,0.07797219855463196,0.10133202386206887,0.13754395599822666,0.011986742126856334,0.01799559206553683,0.019254373131613982,0.039856339133174976,0.04838220611814375,0.06718424434988492
train,16100,50000,0.0001,-2.587759256362915,0.8779764175415039,0.8779764175415039,-2.587759256362915,0.1338028758764267,0.04409889504313469,0.03496471047401428,0.5210586190223694,1.086140673578484e-05,0.048868730664253235,0.045667484402656555,5.86623209528625e-05,0.036378052085638046,0.013067620806396008,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,16200,50000,0.0001,-3.1653268337249756,0.3004086911678314,0.3004086911678314,-3.1653268337249756,0.016429243609309196,0.05256455019116402,0.0646611899137497,0.004380236845463514,4.421352528538591e-08,0.03326115384697914,0.10290978103876114,0.00235431594774127,0.00289266393519938,0.020955489948391914,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,16300,50000,0.0001,-3.2804126739501953,0.18532317876815796,0.18532317876815796,-3.2804126739501953,0.01157707255333662,0.05323963612318039,0.03136633709073067,0.0046869441866874695,3.628555020895874e-07,0.017614739015698433,0.03635793179273605,0.003477996913716197,0.001688979216851294,0.025313176214694977,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
train,16400,50000,0.0001,-3.1834301948547363,0.2823057770729065,0.2823057770729065,-3.1834301948547363,0.1085590049624443,0.06833603233098984,0.024672938510775566,0.00012654879537876695,8.182250894606113e-05,0.025269675999879837,0.023341450840234756,5.3449570259545e-05,0.0008192673558369279,0.03104558400809765,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,16500,50000,0.0001,-3.270890235900879,0.19484567642211914,0.19484567642211914,-3.270890235900879,0.004269403405487537,0.03501449525356293,0.04846017435193062,0.01314257737249136,0.003590395674109459,0.028024662286043167,0.036417681723833084,5.9218829846940935e-05,0.000654650095384568,0.025212422013282776,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,
val,16500,50000,,-2.9300098061561584,0.5357261179387569,0.5357261179387569,,,,,,,,,,,,,,,,,,,,,0.966,0.9668074834037417,0.9919504643962849,0.9792176039119804,0.10247603388209092,0.14010743402356893,0.1202375332637468,0.1705350364964633,0.0952597672171637,0.17124771008110798,0.0014412460681454684,0.027576953092015258,0.05834451577980821,0.07424028843431314,0.10432660575990707,0.1405082711146017,0.011469194278028727,0.017770464564899273,0.020153914029845513,0.03959155694878857,0.04556900463975251,0.06923498463449189
train,16600,50000,0.0001,-2.8524866104125977,0.6132493019104004,0.6132493019104004,-2.8524866104125977,0.07714875042438507,0.14266079664230347,0.0980011373758316,0.010176656767725945,2.2449517018685583e-06,0.031151991337537766,0.12916873395442963,0.011407972313463688,0.01963523030281067,0.093895822763443,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,16700,50000,0.0001,-3.1846158504486084,0.28111982345581055,0.28111982345581055,-3.1846158504486084,0.06319762766361237,0.036022357642650604,0.02812371216714382,0.028301812708377838,3.3743319363566115e-05,0.05614025890827179,0.005939160007983446,7.039699994493276e-05,0.028166308999061584,0.035124436020851135,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,16800,50000,0.0001,-3.098055124282837,0.3676808476448059,0.3676808476448059,-3.098055124282837,0.027707938104867935,0.08845522999763489,0.0651000514626503,0.005937440320849419,5.332476007424702e-07,0.03668094053864479,0.07737160474061966,0.003050456987693906,0.009443663991987705,0.05393300577998161,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,16900,50000,0.0001,-2.792332649230957,0.6734033226966858,0.6734033226966858,-2.792332649230957,0.27960631251335144,0.17625679075717926,0.10010053217411041,0.03182771056890488,3.5871904401574284e-05,0.048775430768728256,0.009212133474647999,8.98421203601174e-05,0.012444211170077324,0.015054539777338505,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,17000,50000,0.0001,-3.3440024852752686,0.1217333972454071,0.1217333972454071,-3.3440024852752686,0.0056587508879601955,0.036003477871418,0.020184200257062912,0.00011816960613941774,6.099675374571234e-05,0.013590251095592976,0.021476155146956444,4.112912938580848e-05,0.0008310815901495516,0.023769186809659004,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
val,17000,50000,,-2.9411335998773573,0.5246023102104664,0.5246023102104664,,,,,,,,,,,,,,,,,,,,,0.963,0.9638771824202288,0.9913312693498452,0.9774114774114773,0.09682675030762936,0.13689593925324264,0.11305039057237076,0.15540174059588208,0.0997314511714705,0.22660036672345027,0.00205588325996517,0.02621963810950801,0.05933552253357028,0.07588721904546067,0.0958687115056965,0.12906212744718468,0.01037481020524775,0.015110219487454366,0.021580500993012643,0.043019952457883696,0.0458635502186353,0.06835561344693722
train,17100,50000,0.0001,-3.242971181869507,0.2227647751569748,0.2227647751569748,-3.242971181869507,0.029785389080643654,0.059207990765571594,0.04623113200068474,0.0002824357070494443,8.197417628252879e-06,0.027357177808880806,0.04174181818962097,0.00011880761303473264,0.0007247104658745229,0.017307130619883537,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,17200,50000,0.0001,-2.8813815116882324,0.5843546390533447,0.5843546390533447,-2.8813815116882324,0.23482616245746613,0.10435841977596283,0.0632556602358818,0.006953285075724125,1.0170689165533986e-05,0.027007918804883957,0.12327496707439423,0.002043401589617133,0.0020540340337902308,0.02057058922946453,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,17300,50000,0.0001,-3.0064516067504883,0.4592844843864441,0.4592844843864441,-3.0064516067504883,0.013452520594000816,0.04626337066292763,0.024840012192726135,0.20699726045131683,1.4165200809657108e-05,0.01804831065237522,0.06575671583414078,0.00743103725835681,0.011381182819604874,0.06509991735219955,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,17400,50000,0.0001,-3.251739025115967,0.2139964997768402,0.2139964997768402,-3.251739025115967,0.04091053083539009,0.042956817895174026,0.03605721518397331,4.539918518275954e-05,1.480518960761401e-07,0.03440641611814499,0.02047392539680004,0.00010983182437485084,0.00115275161806494,0.0378834567964077,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,17500,50000,0.0001,-2.8860256671905518,0.5797101855278015,0.5797101855278015,-2.8860256671905518,0.04287923127412796,0.08362708240747452,0.0553620271384716,0.20239801704883575,7.263019506353885e-05,0.03373385965824127,0.10156501084566116,0.0025642116088420153,0.01008952222764492,0.04741859808564186,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
val,17500,50000,,-2.9198150470852853,0.5459208493679761,0.5459208493679761,,,,,,,,,,,,,,,,,,,,,0.958,0.9575612671846981,0.9919504643962849,0.9744525547445255,0.1020505287329848,0.13987585421157195,0.11721452392476261,0.1621218414725325,0.09560600764611188,0.22043094108255595,0.001992700454251316,0.03449437126987768,0.05689365503957766,0.07318225352854156,0.10249970128569441,0.13598099845894265,0.011113965827193192,0.016189344516755924,0.02303942183592002,0.049972012895021685,0.047411995452623985,0.06782176306954898
train,17600,50000,0.0001,-3.1085116863250732,0.3572240471839905,0.3572240471839905,-3.1085116863250732,0.061720892786979675,0.10598539561033249,0.06326311081647873,0.004404496401548386,5.2499814046313986e-05,0.02367819845676422,0.08009708672761917,0.0015438864938914776,0.0017890834715217352,0.01468938309699297,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,17700,50000,0.0001,-3.284235954284668,0.1814996898174286,0.1814996898174286,-3.284235954284668,0.007594279479235411,0.06951702386140823,0.03249604254961014,0.0018699719803407788,8.311634701385628e-06,0.014446008019149303,0.04148542135953903,0.0008560496498830616,0.0010074375895783305,0.012219148688018322,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,
train,17800,50000,0.0001,-2.8959858417510986,0.5697502493858337,0.5697502493858337,-2.8959858417510986,0.2393546849489212,0.08246556669473648,0.11512425541877747,6.078697697375901e-05,1.433636384717829e-06,0.034482166171073914,0.0663057193160057,9.921059245243669e-05,0.0013280295534059405,0.03052842617034912,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,17900,50000,0.0001,-2.576887845993042,0.8888481259346008,0.8888481259346008,-2.576887845993042,0.33437368273735046,0.08548112213611603,0.08385226875543594,0.06544460356235504,0.024560529738664627,0.053094781935214996,0.09350999444723129,0.0003461514716036618,0.09212842583656311,0.05605657398700714,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,
train,18000,50000,0.0001,-3.1642088890075684,0.30152711272239685,0.30152711272239685,-3.1642088890075684,0.11988277733325958,0.05695100873708725,0.029813062399625778,0.003929573111236095,2.381525234795845e-07,0.017969459295272827,0.06433368474245071,0.0010262534487992525,0.0006832411745563149,0.006937823258340359,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,
val,18000,50000,,-2.9499168372154236,0.5158190850913524,0.5158190850913524,,,,,,,,,,,,,,,,,,,,,0.9625,0.9605263157894737,0.9944272445820433,0.9771828414968057,0.09660011684931469,0.13387986087357112,0.11565051403577113,0.16318545314997288,0.09703660952417474,0.2174643660530701,0.001420642938407213,0.024895483745031127,0.05725377303527974,0.07415017687857188,0.09687123804730896,0.12784745046846088,0.011866507525829708,0.017812780061323273,0.01852723149692311,0.03354842699993326,0.042702832190614,0.06454767118532327
train,18100,50000,0.0001,-3.245473623275757,0.22026224434375763,0.22026224434375763,-3.245473623275757,0.012910318560898304,0.04681474715471268,0.07670262455940247,7.343037577811629e-05,5.228818736213725e-06,0.02699843794107437,0.03614351153373718,0.00018731012823991477,0.0010253752116113901,0.01940126158297062,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
